backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,8,1,0.115254,1,614
OF,reference,CG,none,8,1,0.120311,1,614
OF,reference,CG,none,8,1,0.121371,1,614
OF,reference,CG,none,8,1,0.120773,1,614
OF,reference,CG,none,8,1,0.120813,1,614
OF,reference,CG,none,8,1,0.119819,1,614
OF,reference,CG,none,8,1,0.114398,1,614
OF,reference,CG,none,8,1,0.117244,1,614
OF,reference,CG,none,8,1,0.118012,1,614
OF,reference,CG,none,8,1,0.118493,1,614
OF,reference,CG,none,8,1,0.117783,1,614
OF,reference,CG,none,8,1,0.117967,1,614
OF,reference,CG,none,8,1,0.124685,1,614
OF,reference,CG,none,8,1,0.117998,1,614
OF,reference,CG,none,8,1,0.117903,1,614
OF,reference,CG,none,8,1,0.116565,1,614
OF,reference,CG,none,8,1,0.12029,1,614
OF,reference,CG,none,8,1,0.118521,1,614
OF,reference,CG,none,8,1,0.119379,1,614
OF,reference,CG,none,8,1,0.116916,1,614
OF,reference,CG,none,8,1,0.11833,1,614
OF,reference,CG,none,8,1,0.115378,1,614
OF,reference,CG,none,8,1,0.121146,1,614
OF,reference,CG,none,8,1,0.117824,1,614
OF,reference,CG,none,8,1,0.117617,1,614
OF,reference,CG,none,8,1,0.114873,1,614
OF,reference,CG,none,8,1,0.124477,1,614
OF,reference,CG,none,8,1,0.116932,1,614
OF,reference,CG,none,8,1,0.124985,1,614
OF,reference,CG,none,8,1,0.117243,1,614
OF,reference,CG,none,8,1,0.11385,1,614
OF,reference,CG,none,8,1,0.113808,1,614
OF,reference,CG,none,8,1,0.112824,1,614
OF,reference,CG,none,8,1,0.120675,1,614
OF,reference,CG,none,8,1,0.116953,1,614
OF,reference,CG,none,8,1,0.121549,1,614
OF,reference,CG,none,8,1,0.122278,1,614
OF,reference,CG,none,8,1,0.12291,1,614
OF,reference,CG,none,8,1,0.114174,1,614
OF,reference,CG,none,8,1,0.120464,1,614
OF,reference,CG,none,8,1,0.118407,1,614
OF,reference,CG,none,8,1,0.117773,1,614
OF,reference,CG,none,8,1,0.124494,1,614
OF,reference,CG,none,8,1,0.116814,1,614
OF,reference,CG,none,8,1,0.121498,1,614
OF,reference,CG,none,8,1,0.116195,1,614
OF,reference,CG,none,8,1,0.117321,1,614
OF,reference,CG,none,8,1,0.116228,1,614
OF,reference,CG,none,8,1,0.121783,1,614
OF,reference,CG,none,8,1,0.120018,1,614
OF,reference,CG,none,8,1,0.115361,1,614
OF,reference,CG,none,8,1,0.115661,1,614
OF,reference,CG,none,8,1,0.12061,1,614
OF,reference,CG,none,8,1,0.117651,1,614
OF,reference,CG,none,8,1,0.116191,1,614
OF,reference,CG,none,8,1,0.1299,1,614
OF,reference,CG,none,8,1,0.116623,1,614
OF,reference,CG,none,8,1,0.115507,1,614
OF,reference,CG,none,8,1,0.118995,1,614
OF,reference,CG,none,8,1,0.119238,1,614
OF,reference,CG,none,8,1,0.117956,1,614
OF,reference,CG,none,8,1,0.119224,1,614
OF,reference,CG,none,8,1,0.115656,1,614
OF,reference,CG,none,8,1,0.113756,1,614
OF,reference,CG,none,8,1,0.119937,1,614
OF,reference,CG,none,8,1,0.121365,1,614
OF,reference,CG,none,8,1,0.13235,1,614
OF,reference,CG,none,8,1,0.116847,1,614
OF,reference,CG,none,8,1,0.119881,1,614
OF,reference,CG,none,8,1,0.117542,1,614
OF,reference,CG,none,8,1,0.125993,1,614
OF,reference,CG,none,8,1,0.118351,1,614
OF,reference,CG,none,8,1,0.117303,1,614
OF,reference,CG,none,8,1,0.119157,1,614
OF,reference,BiCGStab,none,8,1,0.124298,1,439
OF,reference,BiCGStab,none,8,1,0.119105,1,439
OF,reference,BiCGStab,none,8,1,0.129632,1,439
OF,reference,BiCGStab,none,8,1,0.120993,1,439
OF,reference,BiCGStab,none,8,1,0.126643,1,439
OF,reference,BiCGStab,none,8,1,0.119584,1,439
OF,reference,BiCGStab,none,8,1,0.124725,1,439
OF,reference,BiCGStab,none,8,1,0.119897,1,439
OF,reference,BiCGStab,none,8,1,0.12558,1,439
OF,reference,BiCGStab,none,8,1,0.117461,1,439
OF,reference,BiCGStab,none,8,1,0.118332,1,439
OF,reference,BiCGStab,none,8,1,0.118042,1,439
OF,reference,BiCGStab,none,8,1,0.120176,1,439
OF,reference,BiCGStab,none,8,1,0.117511,1,439
OF,reference,BiCGStab,none,8,1,0.116525,1,439
OF,reference,BiCGStab,none,8,1,0.117305,1,439
OF,reference,BiCGStab,none,8,1,0.122693,1,439
OF,reference,BiCGStab,none,8,1,0.118743,1,439
OF,reference,BiCGStab,none,8,1,0.118616,1,439
OF,reference,BiCGStab,none,8,1,0.118027,1,439
OF,reference,BiCGStab,none,8,1,0.119088,1,439
OF,reference,BiCGStab,none,8,1,0.115245,1,439
OF,reference,BiCGStab,none,8,1,0.114039,1,439
OF,reference,BiCGStab,none,8,1,0.129773,1,439
OF,reference,BiCGStab,none,8,1,0.118927,1,439
OF,reference,BiCGStab,none,8,1,0.115891,1,439
OF,reference,BiCGStab,none,8,1,0.125103,1,439
OF,reference,BiCGStab,none,8,1,0.118706,1,439
OF,reference,BiCGStab,none,8,1,0.11496,1,439
OF,reference,BiCGStab,none,8,1,0.120091,1,439
OF,reference,BiCGStab,none,8,1,0.117264,1,439
OF,reference,BiCGStab,none,8,1,0.116919,1,439
OF,reference,BiCGStab,none,8,1,0.12215,1,439
OF,reference,BiCGStab,none,8,1,0.118534,1,439
OF,reference,BiCGStab,none,8,1,0.121351,1,439
OF,reference,BiCGStab,none,8,1,0.117165,1,439
OF,reference,BiCGStab,none,8,1,0.11627,1,439
OF,reference,BiCGStab,none,8,1,0.117549,1,439
OF,reference,BiCGStab,none,8,1,0.126439,1,439
OF,reference,BiCGStab,none,8,1,0.117815,1,439
OF,reference,BiCGStab,none,8,1,0.125054,1,439
OF,reference,BiCGStab,none,8,1,0.121082,1,439
OF,reference,BiCGStab,none,8,1,0.118596,1,439
OF,reference,BiCGStab,none,8,1,0.119761,1,439
OF,reference,BiCGStab,none,8,1,0.120884,1,439
OF,reference,BiCGStab,none,8,1,0.12091,1,439
OF,reference,BiCGStab,none,8,1,0.116081,1,439
OF,reference,BiCGStab,none,8,1,0.116411,1,439
OF,reference,BiCGStab,none,8,1,0.123355,1,439
OF,reference,BiCGStab,none,8,1,0.122803,1,439
OF,reference,BiCGStab,none,8,1,0.115031,1,439
OF,reference,BiCGStab,none,8,1,0.118776,1,439
OF,reference,BiCGStab,none,8,1,0.115787,1,439
OF,reference,BiCGStab,none,8,1,0.112203,1,439
OF,reference,BiCGStab,none,8,1,0.124132,1,439
OF,reference,BiCGStab,none,8,1,0.123042,1,439
OF,reference,BiCGStab,none,8,1,0.120842,1,439
